Inverted table	
Deg C	ADC
0	227
1	225
2	224
3	223
4	221
5	220
6	218
7	217
8	215
9	213
10	211
11	210
12	208
13	206
14	204
15	202
16	200
17	198
18	196
19	194
20	191
21	189
22	187
23	185
24	182
25	180
26	177
27	175
28	172
29	170
30	167
31	165
32	162
33	159
34	157
35	154
36	151
37	149
38	146
39	143
40	140
41	138
42	135
43	132
44	129
45	127
46	124
47	121
48	119
49	116
50	113
51	111
52	108
53	106
54	103
55	101
56	98
57	96
58	93
59	91
60	88
61	86
62	84
63	82
64	79
65	77
66	75
67	73
68	71
69	69
70	67
71	65
72	63
73	62
74	60
75	58
76	56
77	55
78	53
79	52
80	50
81	49
82	47
83	46
84	44
85	43
86	42
87	40
88	39
89	38
90	37
91	36
92	35
93	34
94	33
95	32
96	31
97	30
98	29
99	28
100	27
101	104
102	101
103	98
104	95
105	92
106	89
107	87
108	84
109	81
110	79
111	76
112	74
113	72
114	70
115	67
116	65
117	63
118	61
119	60
120	58
121	56
122	54
123	53
124	51
125	50
126	48
127	47
128	45
129	44
130	43
131	41
132	40
133	39
134	38
135	37
136	36
137	35
138	33
139	33
140	32
141	31
142	30
143	29
144	28
145	27
146	26
147	26
148	25
149	24
150	24
151	23
152	22
153	22
154	21
155	20
156	20
157	19
158	19
159	18
160	18
161	17
162	17
163	16
164	16
165	15
166	15
167	15
168	14
169	14
170	13
171	13
172	13
173	12
174	12
175	12
176	11
177	11
178	11
179	10
180	10
181	10
182	10
183	9
184	9
185	9
186	9
187	8
188	8
189	8
190	8
191	8
192	7
193	7
194	7
195	7
196	7
197	6
198	6
199	6
